Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Month,Year
169393,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2010,2010-06-01,10.74,6,2010
169452,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2011,2011-06-01,10.59,6,2011
166856,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,8.11,6,2012
166915,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,7.88,6,2013
213253,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,307.0,Sunset Park (CD7),Winter 2013-14,2013-12-01,27.81,12,2013
643639,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,307.0,Sunset Park (CD7),Annual Average 2019,2019-01-01,18.52,1,2019
603046,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,314.0,Flatbush and Midwood (CD14),Winter 2017-18,2017-12-01,23.47,12,2017
643693,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,407.0,Flushing and Whitestone (CD7),Annual Average 2019,2019-01-01,16.27,1,2019
825830,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,107.0,Upper West Side (CD7),Annual Average 2022,2022-01-01,18.1703003,1,2022
603100,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,14.31,12,2017
643714,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,9.94,1,2019
826077,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,11.36047467,1,2022
165794,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,20.89,12,2008
213278,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,22.58,12,2013
169545,375.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Summer 2013,2013-06-01,10.7,6,2013
170455,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2013,2012-12-01,7.61,12,2012
742560,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2021,2021-01-01,5.918832207,1,2021
547765,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2017,2017-01-01,6.32,1,2017
168567,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2010-11,2010-12-01,10.28,12,2010
169334,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2009,2009-06-01,9.6,6,2009
643640,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,307.0,Sunset Park (CD7),Summer 2019,2019-06-01,16.22,6,2019
336866,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,407.0,Flushing and Whitestone (CD7),Summer 2015,2015-06-01,14.4,6,2015
667808,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,407.0,Flushing and Whitestone (CD7),Winter 2019-20,2019-12-01,22.99,12,2019
823206,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Winter 2021-22,2021-12-01,6.790552345,12,2021
606059,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2018,2018-01-01,6.06,1,2018
742559,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2021,2021-06-01,7.248801127,6,2021
823566,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2021-22,2021-12-01,5.964648061,12,2021
169570,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2013,2013-06-01,9.44,6,2013
169511,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2012,2012-06-01,9.41,6,2012
667850,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2019-20,2019-12-01,17.49,12,2019
643715,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2019,2019-06-01,7.22,6,2019
877256,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2023,2023-01-01,9.361544124,1,2023
877258,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2022-23,2022-12-01,11.87774283,12,2022
166030,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2012-13,2012-12-01,18.77,12,2012
167623,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2010,2009-12-01,13.95,12,2009
176652,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,23.43,12,2011
176676,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Annual Average 2012,2011-12-01,12.47,12,2011
825979,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Summer 2022,2022-06-01,6.854871982,6,2022
741094,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Winter 2020-21,2020-12-01,19.77780206,12,2020
213607,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,307.0,Sunset Park (CD7),Annual Average 2014,2013-12-01,20.33,12,2013
213784,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Winter 2013-14,2013-12-01,12.62,12,2013
823204,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Annual Average 2022,2022-01-01,6.101604201,1,2022
213809,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2013-14,2013-12-01,9.87,12,2013
606061,375.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2017-18,2017-12-01,7.0,12,2017
650059,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2019,2019-01-01,5.59,1,2019
823568,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2022,2022-01-01,5.024423733,1,2022
667809,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,407.0,Flushing and Whitestone (CD7),Summer 2020,2020-06-01,11.06,6,2020
172094,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2009,2009-06-01,16.05,6,2009
336693,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Winter 2014-15,2014-12-01,22.67,12,2014
549977,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Annual Average 2017,2017-01-01,17.2,1,2017
741111,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Annual Average 2021,2021-01-01,14.30918095,1,2021
172099,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,17.8,6,2009
172745,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Annual Average 2013,2012-12-01,17.46,12,2012
171657,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Winter 2010-11,2010-12-01,27.47,12,2010
336708,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Winter 2014-15,2014-12-01,23.0,12,2014
412520,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Winter 2015-16,2015-12-01,20.9,12,2015
412521,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Summer 2016,2016-06-01,12.73,6,2016
172196,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2012,2012-06-01,14.32,6,2012
172230,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2013,2013-06-01,14.59,6,2013
602903,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Annual Average 2018,2018-01-01,16.22,1,2018
825880,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Winter 2021-22,2021-12-01,18.59771003,12,2021
602918,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Annual Average 2018,2018-01-01,16.4,1,2018
825865,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Winter 2021-22,2021-12-01,19.88914473,12,2021
172201,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2012,2012-06-01,15.41,6,2012
172235,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2013,2013-06-01,15.0,6,2013
740987,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Summer 2021,2021-06-01,9.969849112,6,2021
176046,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Summer 2012,2012-06-01,8.15,6,2012
550106,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,315.0,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,16.39,1,2017
166778,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,313.0,Coney Island (CD13),Summer 2011,2011-06-01,12.93,6,2011
826338,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,315.0,Sheepshead Bay (CD15),Winter 2021-22,2021-12-01,19.05259378,12,2021
550154,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Annual Average 2017,2017-01-01,16.49,1,2017
741288,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Annual Average 2021,2021-01-01,14.62480522,1,2021
603095,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Annual Average 2018,2018-01-01,16.26,1,2018
741287,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Summer 2021,2021-06-01,10.40210304,6,2021
547714,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Annual Average 2017,2017-01-01,6.85,1,2017
411129,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Summer 2016,2016-06-01,7.08,6,2016
742555,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Winter 2020-21,2020-12-01,6.621152709,12,2020
826072,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Winter 2021-22,2021-12-01,18.77722805,12,2021
603049,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,315.0,Sheepshead Bay (CD15),Winter 2017-18,2017-12-01,19.88,12,2017
826074,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Annual Average 2022,2022-01-01,14.27800685,1,2022
643711,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Annual Average 2019,2019-01-01,14.55,1,2019
603097,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Winter 2017-18,2017-12-01,21.61,12,2017
334347,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Winter 2014-15,2014-12-01,8.23,12,2014
547762,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Annual Average 2017,2017-01-01,6.77,1,2017
742557,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Annual Average 2021,2021-01-01,6.338519067,1,2021
877201,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,313.0,Coney Island (CD13),Winter 2022-23,2022-12-01,18.02621754,12,2022
877199,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,313.0,Coney Island (CD13),Annual Average 2023,2023-01-01,13.49860962,1,2023
606056,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Annual Average 2018,2018-01-01,6.44,1,2018
823563,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Winter 2021-22,2021-12-01,6.442329619,12,2021
742556,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Summer 2021,2021-06-01,7.801814418,6,2021
336884,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Summer 2015,2015-06-01,12.07,6,2015
643712,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Summer 2019,2019-06-01,13.03,6,2019
667844,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Winter 2019-20,2019-12-01,20.17,12,2019
877255,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Winter 2022-23,2022-12-01,17.795487,12,2022
877253,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Annual Average 2023,2023-01-01,14.84317832,1,2023
172136,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107.0,South Bronx,Summer 2010,2010-06-01,22.13,6,2010
741091,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408.0,Jamaica,Winter 2020-21,2020-12-01,20.87859767,12,2020
650002,375.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,313.0,Coney Island (CD13),Annual Average 2019,2019-01-01,5.98,1,2019
650008,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Annual Average 2019,2019-01-01,6.07,1,2019
176088,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Summer 2013,2013-06-01,7.62,6,2013
168449,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2008-09,2008-12-01,10.19,12,2008
649985,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Summer 2019,2019-06-01,8.9,6,2019
178535,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Annual Average 2012,2011-12-01,8.94,12,2011
178542,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,9.7,12,2011
178556,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Annual Average 2012,2011-12-01,8.55,12,2011
178566,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504.0,South Beach - Tottenville,Annual Average 2012,2011-12-01,8.28,12,2011
179786,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,211.0,Williamsburg - Bushwick,2015,2015-01-01,0.3,1,2015
177233,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Winter 2010-11,2010-12-01,11.75,12,2010
177779,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Summer 2009,2009-06-01,10.08,6,2009
177240,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Winter 2010-11,2010-12-01,14.57,12,2010
177786,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2009,2009-06-01,12.74,6,2009
178584,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2013,2012-12-01,9.36,12,2012
547432,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2017,2017-01-01,8.33,1,2017
177800,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Summer 2009,2009-06-01,9.87,6,2009
178598,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Annual Average 2013,2012-12-01,8.08,12,2012
742257,375.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Annual Average 2021,2021-01-01,6.290971464,1,2021
742378,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Winter 2020-21,2020-12-01,6.407498086,12,2020
173663,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2010,2010-06-01,11.31,6,2010
173697,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2011,2011-06-01,11.04,6,2011
410952,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2016,2016-06-01,7.47,6,2016
410951,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Winter 2015-16,2015-12-01,7.43,12,2015
874806,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,314.0,Flatbush and Midwood (CD14),Annual Average 2023,2023-01-01,6.529592865,1,2023
214138,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Annual Average 2014,2013-12-01,9.7,12,2013
334327,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Annual Average 2015,2015-01-01,8.48,1,2015
213961,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Summer 2014,2014-06-01,9.55,6,2014
649986,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Winter 2018-19,2018-12-01,8.02,12,2018
130428,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,404.0,Bayside - Little Neck,2013,2013-01-01,1.6,1,2013
176718,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Annual Average 2013,2012-12-01,11.51,12,2012
175374,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Winter 2010-11,2010-12-01,20.56,12,2010
175920,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Summer 2009,2009-06-01,10.8,6,2009
177863,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Summer 2011,2011-06-01,10.9,6,2011
823517,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Annual Average 2022,2022-01-01,5.389991444,1,2022
606058,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Winter 2017-18,2017-12-01,7.47,12,2017
165952,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,313.0,Coney Island (CD13),Winter 2011-12,2011-12-01,18.16,12,2011
550105,375.0,Nitrogen dioxide (NO2),Mean,ppb,CD,315.0,Sheepshead Bay (CD15),Summer 2017,2017-06-01,10.99,6,2017
172102,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107.0,South Bronx,Summer 2009,2009-06-01,24.57,6,2009
336690,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408.0,Jamaica,Winter 2014-15,2014-12-01,23.94,12,2014
741093,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408.0,Jamaica,Annual Average 2021,2021-01-01,15.2992962,1,2021
741120,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107.0,South Bronx,Annual Average 2021,2021-01-01,18.11753712,1,2021
650056,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Annual Average 2019,2019-01-01,6.03,1,2019
823565,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Annual Average 2022,2022-01-01,5.441903521,1,2022
742315,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206.0,Borough Park,Winter 2020-21,2020-12-01,6.651149578,12,2020
173686,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401.0,Long Island City - Astoria,Summer 2011,2011-06-01,12.33,6,2011
742360,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408.0,Jamaica,Winter 2020-21,2020-12-01,6.690577085,12,2020
874805,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,313.0,Coney Island (CD13),Winter 2022-23,2022-12-01,5.764514434,12,2022
669923,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Winter 2019-20,2019-12-01,6.97,12,2019
874811,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Winter 2022-23,2022-12-01,5.783695731,12,2022
606003,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,313.0,Coney Island (CD13),Summer 2018,2018-06-01,7.83,6,2018
547713,365.0,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Summer 2017,2017-06-01,8.25,6,2017
742387,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107.0,South Bronx,Winter 2020-21,2020-12-01,6.835494527,12,2020
173176,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401.0,Long Island City - Astoria,Winter 2010-11,2010-12-01,13.64,12,2010
172739,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408.0,Jamaica,Annual Average 2013,2012-12-01,18.96,12,2012
741119,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107.0,South Bronx,Summer 2021,2021-06-01,14.46094161,6,2021
825856,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107.0,South Bronx,Winter 2021-22,2021-12-01,22.85584381,12,2021
172229,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408.0,Jamaica,Summer 2013,2013-06-01,16.57,6,2013
742316,375.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206.0,Borough Park,Summer 2021,2021-06-01,8.338108221,6,2021
173720,375.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401.0,Long Island City - Astoria,Summer 2012,2012-06-01,11.18,6,2012
173754,375.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401.0,Long Island City - Astoria,Summer 2013,2013-06-01,11.07,6,2013
602902,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408.0,Jamaica,Winter 2017-18,2017-12-01,23.83,12,2017
825854,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107.0,South Bronx,Annual Average 2022,2022-01-01,17.25017525,1,2022
602887,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401.0,Long Island City - Astoria,Winter 2017-18,2017-12-01,27.14,12,2017
643501,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401.0,Long Island City - Astoria,Annual Average 2019,2019-01-01,20.24,1,2019
